1;Afganistán;AFG;373.30;366.40;360.00;353.00;346.40;339.80;333.70;327.30;321.70;315.70;309.30;304.50;299.00;293.20;287.20;282.20;277.60;273.20;268.00;264.20;259.40;254.40;249.10;243.80;236.60;229.00;221.00;213.10;205.20;198.90;192.00;184.10;176.80;169.60;162.90;158.00;152.00;146.90;143.70;139.80;136.20;132.80;129.20;125.90;122.70;119.40;116.30;113.40;109.70;106.70;103.90;101.10
2;Albania;ALB;;;;;;;;;;;;;;;;;;;;;;;;52.10;50.10;48.40;47.20;45.60;44.00;42.80;41.20;39.60;38.30;37.10;35.80;34.60;32.70;31.10;29.30;27.80;26.30;25.00;23.50;22.20;21.00;19.70;18.70;17.80;16.90;15.80;15.00;14.30
3;Argelia;DZA;243.10;237.70;234.10;229.10;224.40;219.90;215.60;211.00;207.20;202.50;198.70;195.40;189.60;187.40;183.50;177.50;170.40;163.80;154.70;141.80;129.30;118.20;107.10;97.50;89.20;82.50;77.30;71.80;69.70;67.50;65.60;63.40;61.90;59.60;57.40;54.80;52.50;50.90;49.10;47.50;45.70;43.60;42.30;40.70;39.00;37.70;36.40;34.90;33.50;32.10;31.30;29.80
4;Samoa Americana;ASM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;Andorra;AND;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.30;7.90;7.50;7.10;6.80;6.40;6.10;5.80;5.50;5.20;5.00;4.80;4.60;4.40;4.30;4.10;4.00;3.90;3.70;3.60;3.50;3.30
6;Angola;AGO;;;;;;;;;;;;;;;;;;;;292.20;286.00;282.40;278.00;273.80;269.10;265.00;259.90;256.30;251.40;247.10;243.20;239.10;235.40;230.90;226.30;221.70;217.20;212.10;207.80;203.50;199.30;195.40;191.20;187.10;183.30;179.10;175.60;172.00;167.40;164.50;161.00;157.60
7;Antigua y Barbuda;ATG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26.80;24.90;23.40;22.00;20.80;19.90;18.70;17.80;16.80;15.70;14.80;14.00;13.10;12.40;11.70;10.90;10.40;9.70;9.10;8.60;8.10;7.60
8;Argentina;ARG;74.00;73.20;72.20;71.40;57.50;57.50;58.70;58.60;58.40;58.80;58.20;57.90;57.70;57.60;58.10;56.60;55.10;53.70;51.20;47.60;44.30;41.20;38.30;36.40;34.80;33.40;32.10;30.80;29.70;28.70;27.60;26.60;25.70;24.90;24.20;23.40;22.70;22.00;21.40;20.80;20.30;19.70;19.00;18.40;17.80;17.20;16.70;16.10;15.50;15.00;14.50;14.10
9;Armenia;ARM;;;;;;;;;;;;;;;;87.80;84.30;80.70;77.70;74.20;71.40;68.40;65.50;63.10;60.40;57.90;55.60;53.40;79.30;49.10;47.20;45.30;43.40;41.70;39.80;37.90;36.10;34.30;32.80;31.30;29.80;28.30;27.00;25.70;24.70;23.20;22.30;21.10;20.20;19.20;18.30;17.50
10;Aruba;ABW;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
